declarationNumber,declarationType,declarationDate,state,county,incidentType,incidentTitle,startDate,endDate,closeDate,individualAssistanceProgram,individualsAndHouseholdsProgram,publicAssistanceProgram,hazardMitigationProgram,year,month
DR-183,Disaster,1964-12-24,CA,El Dorado County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes,1964,12
DR-183,Disaster,1964-12-24,CA,Glenn County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes,1964,12
DR-183,Disaster,1964-12-24,CA,Humboldt County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes,1964,12
DR-183,Disaster,1964-12-24,CA,Lake County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes,1964,12
DR-183,Disaster,1964-12-24,CA,Lassen County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes,1964,12
DR-183,Disaster,1964-12-24,CA,Marin County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes,1964,12
DR-183,Disaster,1964-12-24,CA,Mendocino County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes,1964,12
DR-183,Disaster,1964-12-24,CA,Modoc County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes,1964,12
DR-183,Disaster,1964-12-24,CA,Napa County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes,1964,12
DR-183,Disaster,1964-12-24,CA,Nevada County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes,1964,12
DR-183,Disaster,1964-12-24,CA,Placer County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes,1964,12
DR-183,Disaster,1964-12-24,CA,Plumas County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes,1964,12
DR-183,Disaster,1964-12-24,CA,Sacramento County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes,1964,12
DR-183,Disaster,1964-12-24,CA,San Joaquin County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes,1964,12
DR-183,Disaster,1964-12-24,CA,Shasta County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes,1964,12
DR-183,Disaster,1964-12-24,CA,Sierra County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes,1964,12
DR-183,Disaster,1964-12-24,CA,Siskiyou County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes,1964,12
DR-183,Disaster,1964-12-24,CA,Solano County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes,1964,12
DR-183,Disaster,1964-12-24,CA,Sonoma County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes,1964,12
DR-183,Disaster,1964-12-24,CA,Stanislaus County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes,1964,12
DR-183,Disaster,1964-12-24,CA,Sutter County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes,1964,12
DR-183,Disaster,1964-12-24,CA,Tehama County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes,1964,12
DR-183,Disaster,1964-12-24,CA,Trinity County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes,1964,12
DR-183,Disaster,1964-12-24,CA,Tuolumne County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes,1964,12
DR-183,Disaster,1964-12-24,CA,Yolo County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes,1964,12
DR-183,Disaster,1964-12-24,CA,Yuba County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,04/05/1976,Yes,No,Yes,Yes,1964,12
DR-184,Disaster,1964-12-24,OR,Baker County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,08/12/1968,Yes,No,Yes,Yes,1964,12
DR-184,Disaster,1964-12-24,OR,Benton County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,08/12/1968,Yes,No,Yes,Yes,1964,12
DR-184,Disaster,1964-12-24,OR,Clackamas County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,08/12/1968,Yes,No,Yes,Yes,1964,12
DR-184,Disaster,1964-12-24,OR,Clatsop County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,08/12/1968,Yes,No,Yes,Yes,1964,12
DR-184,Disaster,1964-12-24,OR,Columbia County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,08/12/1968,Yes,No,Yes,Yes,1964,12
DR-184,Disaster,1964-12-24,OR,Coos County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,08/12/1968,Yes,No,Yes,Yes,1964,12
DR-184,Disaster,1964-12-24,OR,Crook County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,08/12/1968,Yes,No,Yes,Yes,1964,12
DR-184,Disaster,1964-12-24,OR,Curry County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,08/12/1968,Yes,No,Yes,Yes,1964,12
DR-184,Disaster,1964-12-24,OR,Deschutes County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,08/12/1968,Yes,No,Yes,Yes,1964,12
DR-184,Disaster,1964-12-24,OR,Douglas County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,08/12/1968,Yes,No,Yes,Yes,1964,12
DR-184,Disaster,1964-12-24,OR,Gilliam County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,08/12/1968,Yes,No,Yes,Yes,1964,12
DR-184,Disaster,1964-12-24,OR,Grant County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,08/12/1968,Yes,No,Yes,Yes,1964,12
DR-184,Disaster,1964-12-24,OR,Harney County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,08/12/1968,Yes,No,Yes,Yes,1964,12
DR-184,Disaster,1964-12-24,OR,Hood River County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,08/12/1968,Yes,No,Yes,Yes,1964,12
DR-184,Disaster,1964-12-24,OR,Jackson County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,08/12/1968,Yes,No,Yes,Yes,1964,12
DR-184,Disaster,1964-12-24,OR,Jefferson County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,08/12/1968,Yes,No,Yes,Yes,1964,12
DR-184,Disaster,1964-12-24,OR,Josephine County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,08/12/1968,Yes,No,Yes,Yes,1964,12
DR-184,Disaster,1964-12-24,OR,Klamath County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,08/12/1968,Yes,No,Yes,Yes,1964,12
DR-184,Disaster,1964-12-24,OR,Lake County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,08/12/1968,Yes,No,Yes,Yes,1964,12
DR-184,Disaster,1964-12-24,OR,Lane County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,08/12/1968,Yes,No,Yes,Yes,1964,12
DR-184,Disaster,1964-12-24,OR,Lincoln County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,08/12/1968,Yes,No,Yes,Yes,1964,12
DR-184,Disaster,1964-12-24,OR,Linn County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,08/12/1968,Yes,No,Yes,Yes,1964,12
DR-184,Disaster,1964-12-24,OR,Malheur County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,08/12/1968,Yes,No,Yes,Yes,1964,12
DR-184,Disaster,1964-12-24,OR,Marion County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,08/12/1968,Yes,No,Yes,Yes,1964,12
DR-184,Disaster,1964-12-24,OR,Morrow County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,08/12/1968,Yes,No,Yes,Yes,1964,12
DR-184,Disaster,1964-12-24,OR,Multnomah County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,08/12/1968,Yes,No,Yes,Yes,1964,12
DR-184,Disaster,1964-12-24,OR,Polk County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,08/12/1968,Yes,No,Yes,Yes,1964,12
DR-184,Disaster,1964-12-24,OR,Sherman County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,08/12/1968,Yes,No,Yes,Yes,1964,12
DR-184,Disaster,1964-12-24,OR,Tillamook County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,08/12/1968,Yes,No,Yes,Yes,1964,12
DR-184,Disaster,1964-12-24,OR,Umatilla County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,08/12/1968,Yes,No,Yes,Yes,1964,12
DR-184,Disaster,1964-12-24,OR,Union County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,08/12/1968,Yes,No,Yes,Yes,1964,12
DR-184,Disaster,1964-12-24,OR,Wallowa County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,08/12/1968,Yes,No,Yes,Yes,1964,12
DR-184,Disaster,1964-12-24,OR,Wasco County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,08/12/1968,Yes,No,Yes,Yes,1964,12
DR-184,Disaster,1964-12-24,OR,Washington County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,08/12/1968,Yes,No,Yes,Yes,1964,12
DR-184,Disaster,1964-12-24,OR,Wheeler County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,08/12/1968,Yes,No,Yes,Yes,1964,12
DR-184,Disaster,1964-12-24,OR,Yamhill County,Flood,Heavy Rains and Flooding,12/24/1964,12/24/1964,08/12/1968,Yes,No,Yes,Yes,1964,12
DR-185,Disaster,1964-12-29,WA,Asotin County,Flood,Heavy Rains and Flooding,12/29/1964,12/29/1964,02/02/1968,Yes,No,Yes,Yes,1964,12
DR-185,Disaster,1964-12-29,WA,Benton County,Flood,Heavy Rains and Flooding,12/29/1964,12/29/1964,02/02/1968,Yes,No,Yes,Yes,1964,12
DR-185,Disaster,1964-12-29,WA,Clark County,Flood,Heavy Rains and Flooding,12/29/1964,12/29/1964,02/02/1968,Yes,No,Yes,Yes,1964,12
DR-185,Disaster,1964-12-29,WA,Columbia County,Flood,Heavy Rains and Flooding,12/29/1964,12/29/1964,02/02/1968,Yes,No,Yes,Yes,1964,12
DR-185,Disaster,1964-12-29,WA,Cowlitz County,Flood,Heavy Rains and Flooding,12/29/1964,12/29/1964,02/02/1968,Yes,No,Yes,Yes,1964,12
DR-185,Disaster,1964-12-29,WA,Garfield County,Flood,Heavy Rains and Flooding,12/29/1964,12/29/1964,02/02/1968,Yes,No,Yes,Yes,1964,12
DR-185,Disaster,1964-12-29,WA,Grays Harbor County,Flood,Heavy Rains and Flooding,12/29/1964,12/29/1964,02/02/1968,Yes,No,Yes,Yes,1964,12
DR-185,Disaster,1964-12-29,WA,King County,Flood,Heavy Rains and Flooding,12/29/1964,12/29/1964,02/02/1968,Yes,No,Yes,Yes,1964,12
DR-185,Disaster,1964-12-29,WA,Kittitas County,Flood,Heavy Rains and Flooding,12/29/1964,12/29/1964,02/02/1968,Yes,No,Yes,Yes,1964,12
DR-185,Disaster,1964-12-29,WA,Klickitat County,Flood,Heavy Rains and Flooding,12/29/1964,12/29/1964,02/02/1968,Yes,No,Yes,Yes,1964,12
DR-185,Disaster,1964-12-29,WA,Lewis County,Flood,Heavy Rains and Flooding,12/29/1964,12/29/1964,02/02/1968,Yes,No,Yes,Yes,1964,12
DR-185,Disaster,1964-12-29,WA,Mason County,Flood,Heavy Rains and Flooding,12/29/1964,12/29/1964,02/02/1968,Yes,No,Yes,Yes,1964,12
DR-185,Disaster,1964-12-29,WA,Pacific County,Flood,Heavy Rains and Flooding,12/29/1964,12/29/1964,02/02/1968,Yes,No,Yes,Yes,1964,12
DR-185,Disaster,1964-12-29,WA,Pierce County,Flood,Heavy Rains and Flooding,12/29/1964,12/29/1964,02/02/1968,Yes,No,Yes,Yes,1964,12
DR-185,Disaster,1964-12-29,WA,Skamania County,Flood,Heavy Rains and Flooding,12/29/1964,12/29/1964,02/02/1968,Yes,No,Yes,Yes,1964,12
DR-185,Disaster,1964-12-29,WA,Snohomish County,Flood,Heavy Rains and Flooding,12/29/1964,12/29/1964,02/02/1968,Yes,No,Yes,Yes,1964,12
DR-185,Disaster,1964-12-29,WA,Spokane County,Flood,Heavy Rains and Flooding,12/29/1964,12/29/1964,02/02/1968,Yes,No,Yes,Yes,1964,12
DR-185,Disaster,1964-12-29,WA,Wahkiakum County,Flood,Heavy Rains and Flooding,12/29/1964,12/29/1964,02/02/1968,Yes,No,Yes,Yes,1964,12
DR-185,Disaster,1964-12-29,WA,Walla Walla County,Flood,Heavy Rains and Flooding,12/29/1964,12/29/1964,02/02/1968,Yes,No,Yes,Yes,1964,12
DR-185,Disaster,1964-12-29,WA,Whitman County,Flood,Heavy Rains and Flooding,12/29/1964,12/29/1964,02/02/1968,Yes,No,Yes,Yes,1964,12
DR-185,Disaster,1964-12-29,WA,Yakima County,Flood,Heavy Rains and Flooding,12/29/1964,12/29/1964,02/02/1968,Yes,No,Yes,Yes,1964,12
DR-186,Disaster,1964-12-31,ID,Ada County,Flood,Heavy Rains and Flooding,12/31/1964,12/31/1964,02/14/1968,Yes,No,Yes,Yes,1964,12
DR-186,Disaster,1964-12-31,ID,Bannock County,Flood,Heavy Rains and Flooding,12/31/1964,12/31/1964,02/14/1968,Yes,No,Yes,Yes,1964,12
DR-186,Disaster,1964-12-31,ID,Benewah County,Flood,Heavy Rains and Flooding,12/31/1964,12/31/1964,02/14/1968,Yes,No,Yes,Yes,1964,12
DR-186,Disaster,1964-12-31,ID,Blaine County,Flood,Heavy Rains and Flooding,12/31/1964,12/31/1964,02/14/1968,Yes,No,Yes,Yes,1964,12
DR-186,Disaster,1964-12-31,ID,Boise County,Flood,Heavy Rains and Flooding,12/31/1964,12/31/1964,02/14/1968,Yes,No,Yes,Yes,1964,12
DR-186,Disaster,1964-12-31,ID,Bonneville County,Flood,Heavy Rains and Flooding,12/31/1964,12/31/1964,02/14/1968,Yes,No,Yes,Yes,1964,12
DR-186,Disaster,1964-12-31,ID,Butte County,Flood,Heavy Rains and Flooding,12/31/1964,12/31/1964,02/14/1968,Yes,No,Yes,Yes,1964,12
DR-186,Disaster,1964-12-31,ID,Camas County,Flood,Heavy Rains and Flooding,12/31/1964,12/31/1964,02/14/1968,Yes,No,Yes,Yes,1964,12
DR-186,Disaster,1964-12-31,ID,Caribou County,Flood,Heavy Rains and Flooding,12/31/1964,12/31/1964,02/14/1968,Yes,No,Yes,Yes,1964,12
DR-186,Disaster,1964-12-31,ID,Cassia County,Flood,Heavy Rains and Flooding,12/31/1964,12/31/1964,02/14/1968,Yes,No,Yes,Yes,1964,12
DR-186,Disaster,1964-12-31,ID,Clearwater County,Flood,Heavy Rains and Flooding,12/31/1964,12/31/1964,02/14/1968,Yes,No,Yes,Yes,1964,12
DR-186,Disaster,1964-12-31,ID,Elmore County,Flood,Heavy Rains and Flooding,12/31/1964,12/31/1964,02/14/1968,Yes,No,Yes,Yes,1964,12
DR-186,Disaster,1964-12-31,ID,Gem County,Flood,Heavy Rains and Flooding,12/31/1964,12/31/1964,02/14/1968,Yes,No,Yes,Yes,1964,12
DR-186,Disaster,1964-12-31,ID,Gooding County,Flood,Heavy Rains and Flooding,12/31/1964,12/31/1964,02/14/1968,Yes,No,Yes,Yes,1964,12
DR-186,Disaster,1964-12-31,ID,Idaho County,Flood,Heavy Rains and Flooding,12/31/1964,12/31/1964,02/14/1968,Yes,No,Yes,Yes,1964,12
DR-186,Disaster,1964-12-31,ID,Jerome County,Flood,Heavy Rains and Flooding,12/31/1964,12/31/1964,02/14/1968,Yes,No,Yes,Yes,1964,12
DR-186,Disaster,1964-12-31,ID,Kootenai County,Flood,Heavy Rains and Flooding,12/31/1964,12/31/1964,02/14/1968,Yes,No,Yes,Yes,1964,12
DR-186,Disaster,1964-12-31,ID,Latah County,Flood,Heavy Rains and Flooding,12/31/1964,12/31/1964,02/14/1968,Yes,No,Yes,Yes,1964,12
DR-186,Disaster,1964-12-31,ID,Lewis County,Flood,Heavy Rains and Flooding,12/31/1964,12/31/1964,02/14/1968,Yes,No,Yes,Yes,1964,12
DR-186,Disaster,1964-12-31,ID,Lincoln County,Flood,Heavy Rains and Flooding,12/31/1964,12/31/1964,02/14/1968,Yes,No,Yes,Yes,1964,12
DR-186,Disaster,1964-12-31,ID,Minidoka County,Flood,Heavy Rains and Flooding,12/31/1964,12/31/1964,02/14/1968,Yes,No,Yes,Yes,1964,12
DR-186,Disaster,1964-12-31,ID,Nez Perce County,Flood,Heavy Rains and Flooding,12/31/1964,12/31/1964,02/14/1968,Yes,No,Yes,Yes,1964,12
DR-186,Disaster,1964-12-31,ID,Owyhee County,Flood,Heavy Rains and Flooding,12/31/1964,12/31/1964,02/14/1968,Yes,No,Yes,Yes,1964,12
DR-186,Disaster,1964-12-31,ID,Payette County,Flood,Heavy Rains and Flooding,12/31/1964,12/31/1964,02/14/1968,Yes,No,Yes,Yes,1964,12
DR-186,Disaster,1964-12-31,ID,Power County,Flood,Heavy Rains and Flooding,12/31/1964,12/31/1964,02/14/1968,Yes,No,Yes,Yes,1964,12
DR-186,Disaster,1964-12-31,ID,Shoshone County,Flood,Heavy Rains and Flooding,12/31/1964,12/31/1964,02/14/1968,Yes,No,Yes,Yes,1964,12
DR-186,Disaster,1964-12-31,ID,Washington County,Flood,Heavy Rains and Flooding,12/31/1964,12/31/1964,02/14/1968,Yes,No,Yes,Yes,1964,12
DR-187,Disaster,1965-01-18,NV,Douglas County,Flood,"Severe Storms, Heavy Rains, and Flooding",01/18/1965,01/18/1965,03/20/1968,Yes,No,Yes,Yes,1965,1
DR-187,Disaster,1965-01-18,NV,Lyon County,Flood,"Severe Storms, Heavy Rains, and Flooding",01/18/1965,01/18/1965,03/20/1968,Yes,No,Yes,Yes,1965,1
DR-187,Disaster,1965-01-18,NV,Storey County,Flood,"Severe Storms, Heavy Rains, and Flooding",01/18/1965,01/18/1965,03/20/1968,Yes,No,Yes,Yes,1965,1
DR-187,Disaster,1965-01-18,NV,Washoe County,Flood,"Severe Storms, Heavy Rains, and Flooding",01/18/1965,01/18/1965,03/20/1968,Yes,No,Yes,Yes,1965,1
DR-188,Disaster,1965-04-11,MN,Aitkin County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Anoka County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Benton County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Blue Earth County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Brown County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Carver County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Cass County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Chippewa County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Chisago County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Cottonwood County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Crow Wing County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Dakota County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Dodge County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Douglas County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Faribault County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Fillmore County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Freeborn County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Goodhue County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Grant County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Hennepin County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Houston County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Isanti County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Jackson County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Kanabec County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Kandiyohi County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Kittson County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Lac qui Parle County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Lake of the Woods County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Le Sueur County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,McLeod County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Mahnomen County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Marshall County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Martin County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Meeker County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Mille Lacs County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Morrison County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Mower County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Nicollet County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Norman County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Olmsted County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Otter Tail County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Pine County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Polk County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Pope County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Ramsey County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Redwood County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Renville County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Rice County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Roseau County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Scott County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Sherburne County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Sibley County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Stearns County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Steele County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Swift County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Todd County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Traverse County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
DR-188,Disaster,1965-04-11,MN,Wabasha County,Flood,Flooding,04/11/1965,04/11/1965,01/29/1970,Yes,No,Yes,Yes,1965,4
